Null, airplane       , rererangi          , Pending                                                                                , 6 , 1, 15
Null, medicine       , rongoa             , Pending                                                                                , 7 , 1, 15
Null, computer       , rorohiko           , Pending                                                                                , 3 , 1, 15
Null, truck          , taraka             , Pending                                                                                , 1 , 1, 15
Null, telephone      , waea               , Pending                                                                                , 1 , 1, 15
Null, car            , waka               , Pending                                                                                , 1 , 1, 15
Null, wheel          , wira               , Pending                                                                                , 4 , 1, 15
Null, afternoon      , ahiahi             , Pending                                                                                , 3 , 1, 16
Null, soon           , akuanei            , Pending                                                                                , 6 , 1, 16
Null, tomorrow       , apopo              , Pending                                                                                , 7 , 1, 16
Null, hour           , haora              , Pending                                                                                , 9 , 1, 16
Null, birthday       , huritau            , Pending                                                                                , 4 , 1, 16
Null, clock          , karaka             , Pending                                                                                , 1 , 1, 16
Null, month          , marama             , Pending                                                                                , 5 , 1, 16
Null, minute         , meneti             , Pending                                                                                , 3 , 1, 16
Null, night          , po                 , Pending                                                                                , 5 , 1, 16
Null, day            , ra                 , Pending                                                                                , 8 , 1, 16
Null, sun            , ra                 , Pending                                                                                , 2 , 1, 16
Null, length of 16   , roanga             , Pending                                                                                , 3 , 1, 16
Null, week           , wiki               , Pending                                                                                , 7 , 1, 16
